Model,Strategy,Accuracy,Macro F1,Macro Recall,Time(s)
DecisionTree,Baseline (Raw),0.9358362401321828,0.8995234294031119,0.8981729337161137,6.620094537734985
DecisionTree,OverSampling (SMOTE),0.9325718285294657,0.893564507691715,0.9084736381680308,167.20192074775696
DecisionTree,UnderSampling,0.6626812924545622,0.6146788258523482,0.7911534488078759,0.2885127067565918
LogisticRegression,Baseline (Raw),0.724475628786488,0.5304546460204816,0.5084569027114377,61.02037811279297
LogisticRegression,OverSampling (SMOTE),0.6014262438039287,0.5081225801666616,0.7084334380150589,230.65870928764343
LogisticRegression,UnderSampling,0.6045185423168716,0.5077571477015271,0.7071208665269504,1.4907567501068115
RandomForest,OverSampling (SMOTE),0.954361345694878,0.9292932894683618,0.9391825523230625,134.51185941696167
RandomForest,Baseline (Raw),0.9504371672480264,0.9185548879930334,0.8991068962612808,4.421389579772949
RandomForest,UnderSampling,0.7528169175693042,0.6959815319019121,0.8682438638042216,0.7285220623016357
